"t","id","name","active","x","y","z","v","distance","location","terrain type","attractor","occupant_target","last_goal_started","TEMPERATURE","OXYGEN VOLUME FRACTION","CARBON MONOXIDE VOLUME FRACTION","CARBON DIOXIDE VOLUME FRACTION","SOOT VISIBILITY","*FED_TOTAL*"
"s","","","","m","m","m","m/s","m","","","","","","C","mol/mol","mol/mol","mol/mol","m",""
21.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,105.037986,0.196721,0.000323,0.006035,4.956751,0.001638
22.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,119.529623,0.194790,0.000381,0.007042,4.406734,0.002602
22.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,107.853768,0.196346,0.000334,0.006231,4.825946,0.001860
23.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,122.718771,0.194245,0.000397,0.007326,4.271604,0.002885
23.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,109.189258,0.196199,0.000339,0.006308,4.797560,0.002084
24.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,124.691549,0.193859,0.000408,0.007527,4.209502,0.003176
24.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,107.986754,0.196364,0.000334,0.006222,4.884145,0.002307
25.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,126.500593,0.193533,0.000418,0.007697,4.146644,0.003477
25.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,107.609134,0.196374,0.000333,0.006217,4.874342,0.002530
26.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,132.411105,0.192576,0.000446,0.008196,3.930742,0.003805
26.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,109.391446,0.196002,0.000344,0.006410,4.730042,0.002763
27.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,134.486450,0.192119,0.000460,0.008434,3.842277,0.004138
27.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,111.182132,0.195648,0.000355,0.006595,4.606277,0.003002
28.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,133.074112,0.192141,0.000459,0.008423,3.854159,0.004474
28.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,113.972359,0.195101,0.000371,0.006880,4.432092,0.003266
29.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,133.854996,0.191865,0.000468,0.008567,3.783592,0.004817
29.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,118.708295,0.194251,0.000397,0.007323,4.201265,0.003549
30.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,135.891664,0.191462,0.000480,0.008776,3.698471,0.005168
30.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,122.214626,0.193630,0.000415,0.007646,4.049035,0.003843
31.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,138.654174,0.190969,0.000494,0.009033,3.621620,0.005534
31.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,125.204099,0.193090,0.000431,0.007928,3.921493,0.004154
32.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,144.833679,0.189887,0.000527,0.009598,3.440475,0.005913
32.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,132.352448,0.191888,0.000467,0.008555,3.679931,0.004479
33.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,146.345856,0.189617,0.000535,0.009738,3.398083,0.006325
33.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,133.745627,0.191616,0.000475,0.008696,3.631087,0.004838
34.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,151.617841,0.188597,0.000565,0.010270,3.232987,0.006750
34.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,139.617273,0.190499,0.000508,0.009279,3.435358,0.005214
35.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,151.481744,0.188246,0.000576,0.010453,3.154903,0.007185
35.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,144.098170,0.189692,0.000532,0.009699,3.310056,0.005613
36.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,147.261107,0.188629,0.000564,0.010253,3.185825,0.007608
36.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,144.303216,0.189503,0.000538,0.009797,3.279911,0.006011
37.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,146.078613,0.188978,0.000554,0.010071,3.233606,0.008023
37.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,137.171936,0.190526,0.000508,0.009264,3.441445,0.006393
38.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,146.845990,0.188835,0.000558,0.010146,3.213231,0.008454
38.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,137.611289,0.190502,0.000508,0.009277,3.440136,0.006772
39.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,151.470603,0.187982,0.000583,0.010591,3.095347,0.008908
39.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,140.839717,0.190197,0.000517,0.009436,3.405340,0.007170
40.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,157.451841,0.186906,0.000615,0.011152,2.970409,0.009381
40.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,148.964954,0.188725,0.000561,0.010203,3.178123,0.007596
41.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,153.826473,0.187293,0.000604,0.010950,3.012143,0.009835
41.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,147.213724,0.188799,0.000559,0.010165,3.180537,0.008009
42.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,148.032410,0.188149,0.000578,0.010503,3.111839,0.010274
42.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,140.231094,0.189873,0.000527,0.009605,3.328910,0.008406
43.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,149.847710,0.187859,0.000587,0.010655,3.079990,0.010736
43.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,141.228095,0.189706,0.000532,0.009692,3.307044,0.008811
44.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,156.382290,0.186768,0.000620,0.011223,2.956399,0.011212
44.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,145.080529,0.189033,0.000552,0.010043,3.215700,0.009227
45.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,158.357261,0.186258,0.000635,0.011489,2.886371,0.011711
45.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,147.363701,0.188515,0.000567,0.010313,3.136093,0.009665
46.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,160.899283,0.185586,0.000655,0.011839,2.807937,0.012232
46.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,151.069831,0.187576,0.000595,0.010802,3.008151,0.010128
47.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,159.072266,0.185592,0.000655,0.011836,2.800988,0.012754
47.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,152.249680,0.187052,0.000611,0.011075,2.941085,0.010601
48.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,158.844554,0.185635,0.000653,0.011814,2.805974,0.013261
48.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,151.664979,0.187163,0.000608,0.011017,2.955769,0.011056
49.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,157.238533,0.185976,0.000643,0.011636,2.848388,0.013774
49.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,145.404936,0.188338,0.000573,0.010405,3.111302,0.011486
50.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,164.169277,0.184993,0.000672,0.012148,2.768603,0.014321
50.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,142.007690,0.188866,0.000557,0.010130,3.177830,0.011914
51.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,171.620729,0.183629,0.000713,0.012859,2.653353,0.014894
51.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,146.141743,0.187941,0.000585,0.010612,3.042831,0.012368
52.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,167.197112,0.183937,0.000704,0.012699,2.669865,0.015455
52.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,152.276977,0.186809,0.000618,0.011202,2.909182,0.012846
53.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,162.935397,0.184275,0.000694,0.012523,2.687984,0.016019
53.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,156.356570,0.186019,0.000642,0.011614,2.824089,0.013340
54.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,167.308731,0.183219,0.000725,0.013073,2.591646,0.016611
54.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,155.191951,0.185962,0.000644,0.011643,2.811034,0.013838
55.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,170.276943,0.182800,0.000738,0.013292,2.559719,0.017203
55.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,151.318043,0.186628,0.000624,0.011296,2.877891,0.014324
56.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,166.817169,0.183564,0.000715,0.012893,2.627327,0.017787
56.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,142.924011,0.187976,0.000584,0.010593,3.039684,0.014788
57.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,166.470768,0.183609,0.000714,0.012870,2.630232,0.018355
57.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,143.033505,0.187933,0.000585,0.010616,3.032608,0.015241
58.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,162.406540,0.184154,0.000697,0.012586,2.668566,0.018901
58.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,144.481026,0.187407,0.000601,0.010890,2.950696,0.015712
59.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,156.423624,0.185134,0.000668,0.012075,2.756352,0.019426
59.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,148.256674,0.186445,0.000629,0.011392,2.833248,0.016206
